season,week,home_team,away_team,div_game,home_short_week,away_short_week,home_bye,away_bye,off_epa_last3_diff,off_epa_last5_diff,off_epa_s2d_diff,def_epa_last3_diff,def_epa_last5_diff,def_epa_s2d_diff,off_success_last3_diff,off_success_last5_diff,off_success_s2d_diff,def_success_last3_diff,def_success_last5_diff,def_success_s2d_diff,point_diff_last3_diff,point_diff_last5_diff,point_diff_s2d_diff,turnover_margin_last3_diff,turnover_margin_last5_diff,turnover_margin_s2d_diff,explosive_rate_last3_diff,explosive_rate_last5_diff,explosive_rate_s2d_diff,third_down_rate_last3_diff,third_down_rate_last5_diff,third_down_rate_s2d_diff,sack_rate_last3_diff,sack_rate_last5_diff,sack_rate_s2d_diff,red_zone_td_rate_last3_diff,red_zone_td_rate_last5_diff,red_zone_td_rate_s2d_diff,plays_per_game_last3_diff,plays_per_game_last5_diff,plays_per_game_s2d_diff,rest_diff,home_team_win
2016,1,ARI,NE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2016,2,ARI,TB,0,0,0,0,0,0.0,0.0,0.044092551853791906,0.0,0.0,0.09572151986520461,0.0,0.0,0.09409701928696668,0.0,0.0,0.02427884615384618,0.0,0.0,-9.0,0.0,0.0,3.0,0.0,0.0,-0.03652834599649328,0.0,0.0,0.16666666666666669,0.0,0.0,0.05084745762711865,0.0,0.0,0.5,0.0,0.0,1.0,0,1
2016,4,ARI,LA,1,0,0,0,0,0.22721501609738148,0.0,0.22721501609738148,-0.04610820875330053,0.0,-0.04610820875330053,0.1076606376550806,0.0,0.1076606376550806,0.008511854455991341,0.0,0.008511854455991341,11.0,0.0,11.0,1.0,0.0,1.0,0.019782391052188236,0.0,0.019782391052188236,0.11678876678876676,0.0,0.11678876678876676,0.008823820278390994,0.0,0.008823820278390994,0.0,0.0,0.1444444444444445,8.666666666666664,0.0,8.666666666666664,0,0
2016,6,ARI,NYJ,0,0,0,1,0,0.0011824441517214734,0.02358980810066166,0.02358980810066166,-0.19114001093598096,-0.20804875497441838,-0.20804875497441838,-0.018649987399987467,-0.007657141110530896,-0.007657141110530896,-0.0625787037621709,-0.052657825939334824,-0.052657825939334824,13.999999999999998,13.600000000000001,13.600000000000001,0.6666666666666665,1.8,1.8,0.030933411105824885,-0.01209675416279743,-0.01209675416279743,-0.013704351204351206,-0.012251914751914783,-0.012251914751914783,0.0023351683912028742,0.008760069749622647,0.008760069749622647,0.1111111111111111,0.19238095238095237,0.19238095238095237,9.0,3.0,3.0,3,1
2016,10,ARI,SF,1,0,0,1,0,0.11766535106704973,0.07526548888409079,0.0973451227492415,-0.41383628614134205,-0.3564597838484096,-0.20940428000998418,0.048719583014068035,0.020876760203451084,0.04794299538436786,-0.13697533774137954,-0.1279625871722122,-0.06194066061908099,26.333333333333332,21.200000000000003,16.5,1.3333333333333333,1.0,0.75,-0.0782666280252469,-0.020712575567746888,-0.0016510354657918447,0.1673289673289673,0.08377650127650127,0.08222726007652476,0.012841329879688494,-0.0038271667291515585,0.009993600433567541,0.4444444444444444,0.16666666666666669,0.09583333333333333,13.666666666666664,10.600000000000001,7.25,7,1
2016,13,ARI,WAS,0,0,0,0,1,-0.42558124587682666,-0.35805992730467695,-0.18548051768842216,-0.18537311318064043,-0.2136980916506055,-0.1936727604328462,-0.045548022821046474,-0.0513219087202057,-0.058461592755808645,-0.047625820861785906,-0.06066422469610305,-0.07630918095953315,-13.666666666666666,-9.600000000000001,0.09090909090909083,-2.3333333333333335,-1.4,-0.36363636363636365,0.00586273497250514,-0.0033603852048679494,-0.012345675978364834,-0.16828726828726814,-0.15318524612642265,-0.057014242442049945,0.022715558264626307,0.03912047217405093,0.022713201137978846,-0.011111111111111238,0.009999999999999953,0.18181818181818182,3.0,1.4000000000000057,4.454545454545453,-3,1
2016,15,ARI,NO,0,0,0,0,0,-0.015384711215314196,-0.051580689271970556,-0.10226004588435257,0.05233387030121152,0.026222826945725947,-0.11599568202577104,0.018229985109851576,-0.0028693007105333734,-0.03316760911653244,-0.005370823579979533,-0.0010694805534885443,-0.04575603175860138,-7.333333333333334,-4.0,1.1538461538461537,1.6666666666666667,0.8,0.07692307692307693,-0.019331296973121234,-0.009161808798395232,-0.007715821119176486,0.021853146853146876,0.024222999222999197,-0.05060041140357885,0.01492619665589633,0.01349146862410065,0.01914054721443571,0.22222222222222215,0.06999999999999984,-0.0474358974358976,3.6666666666666643,6.3999999999999915,2.461538461538467,0,0
2017,3,ARI,DAL,0,0,0,0,0,-0.06777802198850055,-0.00653530178556078,-0.031643702941011376,-0.4297505618359981,-0.22887800028900837,-0.11087696715041188,-0.08359505154391023,-0.023783404552719767,-0.045984928062133945,-0.13967006416969352,-0.0915150293709251,-0.1117607353522847,13.666666666666666,6.0,0.0,-1.0,-0.8,-2.0,0.04125265495162335,0.027773570992952024,0.06537711675579323,-0.06911976911976908,-0.10258297258297255,0.02619047619047621,0.005430836966174982,-0.004983256062053257,0.016308568882098296,0.005555555555555702,0.10333333333333317,-0.04166666666666663,-0.3333333333333428,1.4000000000000057,-2.0,0,0
2017,4,ARI,SF,1,0,0,0,1,0.07550264413567034,0.1062116700558973,0.07550264413567034,-0.14668764962815883,-0.21422092809401563,-0.14668764962815886,0.026820533769063182,0.009976558952986825,0.026820533769063182,-0.032863822207340965,-0.024779469471523485,-0.03286382220734091,1.666666666666667,9.4,1.666666666666667,0.0,0.6,0.0,0.03770651779230212,0.04535022822518202,0.037706517792302094,0.1319865319865321,0.04719336219336223,0.13198653198653199,-0.0039560639070442966,-0.025125700677408096,-0.0039560639070442966,-0.02777777777777779,-0.09666666666666673,-0.02777777777777779,10.0,5.600000000000001,10.0,-4,1
2017,6,ARI,TB,0,0,0,0,1,-0.10095823636428271,-0.08966184468308748,-0.12496070234842435,-0.060944357183753205,-0.018709171540350036,-0.049756912810628565,-0.09454285209218344,-0.053084728187144825,-0.07838319487607581,-0.09576604576086539,-0.07669156557479251,-0.08198827260618474,-4.999999999999999,-9.4,-9.3,0.3333333333333333,-1.0,-0.85,-0.03768356496576533,-0.014908799758907437,-0.017323948234127945,0.09852416102416103,0.03816211566211569,0.03890304140304135,0.034932178363430974,0.02056921797996196,0.024435182038033264,-0.16666666666666663,-0.18000000000000005,-0.19999999999999996,11.333333333333336,7.799999999999997,8.0,-3,1
