team,season,week,off_epa,off_epa_last3,off_epa_last5,off_epa_s2d,def_epa,def_epa_last3,def_epa_last5,def_epa_s2d,off_success,off_success_last3,off_success_last5,off_success_s2d,def_success,def_success_last3,def_success_last5,def_success_s2d,turnover_margin,turnover_margin_last3,turnover_margin_last5,turnover_margin_s2d,third_down_rate,third_down_rate_last3,third_down_rate_last5,third_down_rate_s2d,sack_rate,sack_rate_last3,sack_rate_last5,sack_rate_s2d,explosive_rate,explosive_rate_last3,explosive_rate_last5,explosive_rate_s2d,red_zone_td_rate,red_zone_td_rate_last3,red_zone_td_rate_last5,red_zone_td_rate_s2d,plays_per_game,plays_per_game_last3,plays_per_game_last5,plays_per_game_s2d,opponent,points_for,points_allowed,rest,div_game,is_home,point_diff,point_diff_last5,point_diff_last3,point_diff_s2d
ARI,2016,1,0.17622554731680887,,,,0.1166042775631618,,,,0.5423728813559322,,,,0.4461538461538462,,,,2.0,,,,0.5,,,,0.05084745762711865,,,,0.11864406779661017,,,,1.0,,,,59,,,,NE,21.0,23.0,7,0,1,-2.0,,,
ARI,2016,2,0.15753012357491294,,,0.17622554731680887,-0.28918037953961495,,,0.1166042775631618,0.36923076923076925,,,0.5423728813559322,0.4,,,0.4461538461538462,5.0,,,2.0,0.42857142857142855,,,0.5,0.015384615384615385,,,0.05084745762711865,0.13846153846153847,,,0.11864406779661017,0.6,,,1.0,65,,,59.0,TB,40.0,7.0,7,0,1,33.0,,,-2.0
ARI,2016,3,-0.28367128680024467,,,0.1668778354458609,-0.031090530278560458,,,-0.08628805098822658,0.3974358974358974,,,0.4558018252933507,0.4067796610169492,,,0.42307692307692313,-4.0,,,3.5,0.3333333333333333,,,0.4642857142857143,0.0641025641025641,,,0.033116036505867016,0.1282051282051282,,,0.12855280312907433,0.3333333333333333,,,0.8,78,,,62.0,BUF,18.0,33.0,7,0,0,-15.0,,,15.5
ARI,2016,4,-0.1398665744196866,0.016694794697159048,,0.016694794697159048,-0.11398580214751387,-0.06788887741833786,,-0.06788887741833786,0.4189189189189189,0.436346516007533,,0.436346516007533,0.3148148148148148,0.4176445023902651,,0.4176445023902651,-4.0,1.0,,1.0,0.46153846153846156,0.42063492063492064,,0.42063492063492064,0.04054054054054054,0.04344487903809938,,0.04344487903809938,0.1891891891891892,0.12843691148775896,,0.12843691148775896,0.3333333333333333,0.6444444444444445,,0.6444444444444445,74,67.33333333333333,,67.33333333333333,LA,13.0,17.0,7,1,1,-4.0,,5.333333333333333,5.333333333333333
ARI,2016,5,-0.007722852812610651,-0.08866924588167278,,-0.022445547582052368,-0.1738261227980508,-0.14475223732189643,,-0.07941310860063187,0.40625,0.39519519519519514,,0.43198961673537944,0.40540540540540543,0.37386482527725473,,0.3919370804964025,2.0,-1.0,,-0.25,0.3125,0.40781440781440786,,0.4308608058608059,0.015625,0.040009240009240006,,0.04271879441370967,0.125,0.15195195195195196,,0.1436249809131165,0.6666666666666666,0.4222222222222222,,0.5666666666666667,64,72.33333333333333,,69.0,SF,33.0,21.0,4,1,0,12.0,,4.666666666666667,3.0
ARI,2016,6,0.18273429458734908,-0.14375357134418065,-0.019501008628164024,-0.019501008628164024,-0.26646030307952634,-0.10630081840804172,-0.09829571144011565,-0.09829571144011565,0.5147058823529411,0.40753493878493874,0.4268416933883035,0.4268416933883035,0.3076923076923077,0.37566662707905646,0.3946307454782031,0.3946307454782031,2.0,-2.0,0.2,0.2,0.5454545454545454,0.3691239316239316,0.4071886446886447,0.4071886446886447,0.0,0.04008936821436821,0.03730003553096774,0.03730003553096774,0.07352941176470588,0.14746477246477246,0.1398999847304932,0.1398999847304932,1.0,0.4444444444444444,0.5866666666666667,0.5866666666666667,68,72.0,68.0,68.0,NYJ,28.0,3.0,11,0,1,25.0,4.8,-2.3333333333333335,4.8
ARI,2016,7,-0.09843021210745646,0.011714955785017264,-0.01819925917405598,0.01420487524108816,-0.1960953530945595,-0.18475740934169702,-0.17490862756865327,-0.12632314338001743,0.4222222222222222,0.4466249337572867,0.4213082935877054,0.4414857248824098,0.40350877192982454,0.34263750930417597,0.3669384377858954,0.38014100584722055,0.0,0.0,0.2,0.5,0.47619047619047616,0.43983100233100236,0.4162795537795538,0.4302329614829615,0.044444444444444446,0.018721846846846846,0.027130544005544006,0.031083362942473113,0.12222222222222222,0.12923953365129837,0.13087705352411233,0.12883822256952865,0.0,0.6666666666666666,0.5866666666666667,0.6555555555555556,90,68.66666666666667,69.8,68.0,SEA,6.0,6.0,6,1,1,0.0,10.2,11.0,8.166666666666666
ARI,2016,8,-0.09135679304532421,0.025527076555760645,-0.06939132631052987,-0.0018858515229896436,-0.016724772591673584,-0.21212725965737889,-0.15629162227964216,-0.1362906019106663,0.4461538461538462,0.4477260348583878,0.431906584185996,0.43873379593095446,0.4375,0.3722021616758459,0.3676401921718603,0.3834792581447354,-1.0,1.3333333333333333,-0.8,0.42857142857142855,0.3333333333333333,0.44471500721500723,0.42580336330336327,0.4367983207268921,0.12307692307692308,0.020023148148148148,0.03294250981750982,0.03299208887132616,0.13846153846153847,0.10691721132897603,0.1276291902762491,0.12789307966277058,1.0,0.5555555555555555,0.4666666666666666,0.5619047619047619,65,74.0,74.8,71.14285714285714,CAR,20.0,30.0,7,0,0,-10.0,3.6,12.333333333333334,7.0
ARI,2016,10,-0.13549612981694714,-0.0023509035218105406,-0.03092842755954577,-0.013069719213281464,-0.030445652173681653,-0.1597601429219198,-0.1534184707422648,-0.12134487324579221,0.4520547945205479,0.46102731690966986,0.44165017392958567,0.43966130220881594,0.36065573770491804,0.3829003598740441,0.37378425996847053,0.39023185087664347,-4.0,0.3333333333333333,-0.2,0.25,0.5,0.45165945165945165,0.42580336330336327,0.4238651973026973,0.0273972602739726,0.05584045584045585,0.04473738161238162,0.044252693147025776,0.1780821917808219,0.11140439081615554,0.12968047232753116,0.12921413701261658,0.25,0.6666666666666666,0.6,0.6166666666666667,73,74.33333333333333,72.2,70.375,SF,23.0,20.0,14,1,1,3.0,4.6,5.0,4.875
ARI,2016,11,-0.23233254184879654,-0.10842771165657594,-0.030054338638997875,-0.02667265372479987,-0.12945957586464782,-0.08108859261997158,-0.13671044074749836,-0.11124495979333547,0.4142857142857143,0.4401436209655388,0.4482773490499115,0.44103835691011944,0.39622641509433965,0.40055483654491414,0.38295244454649113,0.38694561607978506,-1.0,-1.6666666666666667,-0.2,-0.2222222222222222,0.3076923076923077,0.4365079365079365,0.43349567099567093,0.4323246198246198,0.05714285714285714,0.06497287593178004,0.04210872555906803,0.04237986727224209,0.14285714285714285,0.1462553174881942,0.1274590728458577,0.1346439208757505,0.5,0.4166666666666667,0.5833333333333334,0.575925925925926,70,76.0,72.0,70.66666666666667,MIN,24.0,30.0,7,0,0,-6.0,6.0,-2.3333333333333335,4.666666666666667
